location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20201227T1200,16.934147,61.0,18.59845,284.57422
20201227T1300,16.524147,63.0,17.414476,277.125
20201227T1400,15.624146,66.0,15.517629,273.9909
20201227T1500,15.854146,67.0,14.830076,275.5722
20201227T1600,14.804147,71.0,13.684735,271.50745
20201227T1700,14.094147,75.0,11.879999,270.0
20201227T1800,13.354146,79.0,8.287822,272.48956
20201227T1900,12.794147,82.0,4.802999,282.99463
20201227T2000,12.164146,86.0,4.0249224,333.43497
20201227T2100,11.784146,89.0,3.9763298,5.194412
20201227T2200,11.594147,89.0,3.8773184,21.801407
20201227T2300,11.284146,90.0,4.39436,34.99202
20201228T0000,10.754147,90.0,4.3349743,41.63353
20201228T0100,10.174147,91.0,4.6102495,38.659805
20201228T0200,9.5841465,91.0,4.6102495,38.659805
20201228T0300,9.124146,90.0,4.6102495,38.659805
20201228T0400,8.754147,89.0,4.3349743,41.63353
20201228T0500,8.414146,88.0,4.072935,44.999985
20201228T0600,8.134147,87.0,4.072935,44.999985
20201228T0700,9.074146,72.0,5.3517847,47.726303
20201228T0800,10.984146,68.0,5.771239,356.42368
20201228T0900,13.004147,63.0,6.763786,334.7989
20201228T1000,14.774146,58.0,8.942214,310.10092
20201228T1100,16.024147,56.0,11.592895,295.76935
20201228T1200,16.574146,60.0,15.03835,281.04095
20201228T1300,16.294147,63.0,16.954432,273.65222
20201228T1400,15.954146,64.0,15.84,270.0
20201228T1500,15.864146,64.0,13.679999,270.0
20201228T1600,15.294147,68.0,12.261158,273.36646
20201228T1700,14.274146,76.0,11.609651,277.125
20201228T1800,13.294147,82.0,8.669949,274.76364
20201228T1900,12.914146,84.0,5.04,270.0
20201228T2000,12.754147,85.0,2.52,270.0
20201228T2100,12.774146,83.0,0.0,180.0
20201228T2200,12.844147,82.0,1.08,89.99999
20201228T2300,12.854146,79.0,2.16,89.99999
20201229T0000,12.724147,78.0,1.1384199,108.434944
20201229T0100,12.444146,80.0,0.35999998,89.99999
20201229T0200,11.534146,85.0,1.4399999,360.0
20201229T0300,10.974147,89.0,2.5455842,8.130096
20201229T0400,10.814146,90.0,2.6208394,15.945404
20201229T0500,10.604146,92.0,2.6208394,15.945404
20201229T0600,10.414146,92.0,2.7416782,23.198593
20201229T0700,11.384147,90.0,2.6208394,285.9454
20201229T0800,12.444146,84.0,1.8,306.8699
20201229T0900,13.344147,80.0,4.0249224,280.30487
20201229T1000,14.304147,75.0,6.924738,261.02737
20201229T1100,14.574146,75.0,9.746631,265.7636
20201229T1200,14.514147,76.0,9.726665,267.8789
20201229T1300,14.484146,77.0,10.538843,262.14667
20201229T1400,14.454146,77.0,10.8955765,262.40536
20201229T1500,15.034146,74.0,10.538843,262.14667
20201229T1600,14.944146,72.0,9.726665,267.8789
20201229T1700,14.394147,76.0,8.64,270.0
20201229T1800,13.564146,81.0,7.2,270.0
20201229T1900,13.074146,85.0,5.3999996,270.0
20201229T2000,12.764147,88.0,1.2979984,236.30994
20201229T2100,12.614146,89.0,1.9386592,158.1986
20201229T2200,12.394147,90.0,1.4399999,180.0
20201229T2300,12.004147,93.0,1.835647,258.69006
20201230T0000,11.734146,95.0,2.52,270.0
20201230T0100,11.564146,96.0,3.6179552,275.7106
20201230T0200,11.204146,96.0,3.7585104,286.69925
20201230T0300,10.944146,95.0,3.5455887,293.9625
20201230T0400,10.704146,94.0,2.5959969,326.30994
20201230T0500,10.484146,94.0,2.4149535,333.43497
20201230T0600,10.424147,92.0,1.835647,348.69006
20201230T0700,10.954146,88.0,1.8,360.0
20201230T0800,12.364146,82.0,2.5959969,303.69006
20201230T0900,14.034146,73.0,4.3349743,274.76364
20201230T1000,15.434146,69.0,6.5693827,279.46234
20201230T1100,16.614147,64.0,6.9899354,281.88867
20201230T1200,15.914147,67.0,8.647496,272.38596
20201230T1300,15.504146,69.0,11.165805,268.1524
20201230T1400,15.354146,70.0,11.183201,266.30862
20201230T1500,15.764146,68.0,10.182337,261.8699
20201230T1600,15.614146,68.0,9.3669195,267.7974
20201230T1700,14.854146,73.0,8.759178,279.46234
20201230T1800,13.914146,79.0,5.4477882,277.59464
20201230T1900,13.394147,81.0,2.8799999,270.0
20201230T2000,13.104146,83.0,1.8,89.99999
20201230T2100,12.8341465,86.0,1.2979984,56.30993
20201230T2200,12.854146,86.0,0.71999997,89.99999
20201230T2300,12.604146,86.0,1.609969,116.56505
20201231T0000,12.654146,85.0,1.5273507,135.0
20201231T0100,12.474147,85.0,0.5091169,135.0
20201231T0200,12.244146,86.0,0.0,180.0
20201231T0300,12.014147,88.0,0.8049845,333.43497
20201231T0400,11.854146,89.0,0.35999998,360.0
20201231T0500,11.754147,89.0,1.0182338,44.999985
20201231T0600,11.274146,92.0,2.3051248,51.34018
20201231T0700,11.5841465,90.0,2.9024127,60.25511
20201231T0800,12.804147,81.0,1.609969,153.43495
20201231T0900,14.0841465,75.0,1.609969,153.43495
20201231T1000,15.294147,70.0,2.8799999,270.0
20201231T1100,15.474147,71.0,6.830519,288.43497
20201231T1200,15.304147,73.0,7.172949,287.52557
20201231T1300,15.154146,75.0,5.771239,273.57632
20201231T1400,15.054147,76.0,6.4799995,270.0
20201231T1500,14.794147,77.0,7.5599995,270.0
20201231T1600,14.3341465,80.0,6.489992,273.17984
