Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C]
1/04/2020,14:00,4.49,70.64,18.62,16.15346591
1/04/2020,14:05,2.69,47.61,18.23,16.02122045
1/04/2020,14:10,4.02,66.16,18.1,15.99667273
1/04/2020,14:15,5.77,90.83,18.68,16.25398409
1/04/2020,14:20,6.44,101.4,19.29,16.40085227
1/04/2020,14:25,4.36,74.12,18.87,16.44620909
1/04/2020,14:30,4.63,81.2,18.29,16.39388409
1/04/2020,14:35,7.08,120.1,18.81,16.11397955
1/04/2020,14:40,6.17,104.21,19.63,15.88479318
1/04/2020,14:45,7.01,119.77,19.95,15.77410455
1/04/2020,14:50,8.27,137.84,20.32,15.84355455
1/04/2020,14:55,7.73,127.57,19.61,16.05458409
1/04/2020,15:00,8.11,133.39,17.51,16.30831364
1/04/2020,15:05,10.63,176.38,18.61,16.56641364
1/04/2020,15:10,13.46,220.56,21.03,16.72876364
1/04/2020,15:15,12.9,209.62,23.03,16.94134091
1/04/2020,15:20,9.66,151.89,23.33,17.20148182
1/04/2020,15:25,8.63,133.89,22.53,17.51690455
1/04/2020,15:30,9.7,156.86,22.66,18.03774545
1/04/2020,15:35,10.38,163.27,23.04,18.52872727
1/04/2020,15:40,11.15,159.83,23.39,18.90350909
1/04/2020,15:45,11.59,161.42,23.83,19.03380909
1/04/2020,15:50,10.58,152.31,23.76,18.93227955
1/04/2020,15:55,10.48,148.69,23.66,18.86501818
1/04/2020,16:00,9.91,139.26,22.99,18.94067273
1/04/2020,16:05,8.59,121.92,22.44,19.00928864
1/04/2020,16:10,7.97,117.5,21.93,19.00857955
1/04/2020,16:15,8.77,134.32,21.73,18.95812727
1/04/2020,16:20,9.59,143.34,22.05,18.88023182
1/04/2020,16:25,7.19,112.78,22.28,18.77306818
1/04/2020,16:30,6.35,103.46,22.15,18.701875
1/04/2020,16:35,7.21,115.75,22.17,18.59909773
1/04/2020,16:40,7.49,116.51,22.04,18.51337955
1/04/2020,16:45,7.24,109.65,21.73,18.45859318
1/04/2020,16:50,6.47,101.01,21.17,18.32557727
1/04/2020,16:55,5.33,83.01,20.66,18.03723409
1/04/2020,17:00,4,61.94,19.66,17.70575909
1/04/2020,17:05,2.52,43.06,18.94,17.41107955
1/04/2020,17:10,2.29,38.78,18.5,17.13998864
