Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/04/2020,07:05:00 PM,x,1.03,14.53,14.47828409
03/04/2020,07:10:00 PM,x,1.03,14.46,14.40104091
03/04/2020,07:15:00 PM,x,1.03,14.43,14.32925227
03/04/2020,07:20:00 PM,x,1.03,14.37,14.25470682
03/04/2020,07:25:00 PM,x,1.03,14.25,14.17561591
03/04/2020,07:30:00 PM,x,1.03,14.15,14.09834318
03/04/2020,07:35:00 PM,x,1.03,14.02,14.02288864
03/04/2020,07:40:00 PM,x,1.03,13.92,13.94016136
03/04/2020,07:45:00 PM,x,1.03,13.83,13.85016136
03/04/2020,07:50:00 PM,x,1.03,13.74,13.75382727
03/04/2020,07:55:00 PM,x,1.03,13.75,13.66022045
03/04/2020,08:00:00 PM,x,1.03,13.7,13.55934091
03/04/2020,08:05:00 PM,x,1.03,13.55,13.454825
03/04/2020,08:10:00 PM,x,1.03,13.44,13.36394545
03/04/2020,08:15:00 PM,x,1.02,13.31,13.28124773
03/04/2020,08:20:00 PM,x,1.02,13.22,13.19948864
03/04/2020,08:25:00 PM,x,1.02,13.04,13.11224545
03/04/2020,08:30:00 PM,x,1.02,12.87,13.01775909
03/04/2020,08:35:00 PM,x,1.02,12.92,12.90781818
03/04/2020,08:40:00 PM,x,1.02,12.92,12.78696818
03/04/2020,08:45:00 PM,x,1.01,12.84,12.68517955
03/04/2020,08:50:00 PM,x,1.02,12.79,12.60975455
03/04/2020,08:55:00 PM,x,1.01,12.66,12.56069318
03/04/2020,09:00:00 PM,x,1.01,12.34,12.52254091
03/04/2020,09:05:00 PM,x,1.01,12.11,12.47257045
03/04/2020,09:10:00 PM,x,1.01,12.19,12.39623636
03/04/2020,09:15:00 PM,x,1.01,12.39,12.30987273
03/04/2020,09:20:00 PM,x,1.01,12.5,12.22262955
03/04/2020,09:25:00 PM,x,1.01,12.45,12.14356818
03/04/2020,09:30:00 PM,x,1.01,12.37,12.09084091
03/04/2020,09:35:00 PM,x,1.01,12.08,12.016325
03/04/2020,09:40:00 PM,x,1.01,11.89,11.91635455
03/04/2020,09:45:00 PM,x,1.01,11.83,11.78274773
03/04/2020,09:50:00 PM,x,1,11.79,11.63277727
03/04/2020,09:55:00 PM,x,1.01,11.76,11.49098864
03/04/2020,10:00:00 PM,x,1,11.29,11.34556364
03/04/2020,10:05:00 PM,x,1,11.09,11.23559318
03/04/2020,10:10:00 PM,x,1,10.92,11.12656136
03/04/2020,10:15:00 PM,x,1,10.85,10.99389318
03/04/2020,10:20:00 PM,x,1,10.89,10.86483182
03/04/2020,10:25:00 PM,x,1,10.77,10.74849773
03/04/2020,10:30:00 PM,x,1,10.87,10.661225
03/04/2020,10:35:00 PM,x,0.99,10.69,10.57395227
03/04/2020,10:40:00 PM,x,0.99,10.37,10.49670909
03/04/2020,10:45:00 PM,x,0.99,10.37,10.43489091
03/04/2020,10:50:00 PM,x,1,10.48,10.36855682
03/04/2020,10:55:00 PM,x,1,10.33,10.31313182
03/04/2020,11:00:00 PM,x,1,10.13,10.24407045
03/04/2020,11:05:00 PM,x,0.99,10.07,10.19497955
03/04/2020,11:10:00 PM,x,1,10.17,10.17497955
03/04/2020,11:15:00 PM,x,0.99,10.16,10.13134318
03/04/2020,11:20:00 PM,x,0.99,10.16,10.06046364
03/04/2020,11:25:00 PM,x,0.99,10.11,10.00322045
03/04/2020,11:30:00 PM,x,0.99,10.15,9.954159091
03/04/2020,11:35:00 PM,x,0.99,10.15,9.905977273
03/04/2020,11:40:00 PM,x,0.99,9.89,9.847825
03/04/2020,11:45:00 PM,x,0.99,9.7,9.787825
03/04/2020,11:50:00 PM,x,0.99,9.7,9.715097727
03/04/2020,11:55:00 PM,x,0.99,9.59,9.640552273
03/05/2020,12:00:00 AM,x,0.99,9.54,9.562370455
03/05/2020,12:05:00 AM,x,0.99,9.53,9.476006818
03/05/2020,12:10:00 AM,x,0.99,9.5,9.401461364
03/05/2020,12:15:00 AM,x,0.99,9.36,9.331461364
03/05/2020,12:20:00 AM,x,0.99,9.29,9.265097727
03/05/2020,12:25:00 AM,x,0.99,9.29,9.206006818
03/05/2020,12:30:00 AM,x,0.99,9.2,9.142370455
03/05/2020,12:35:00 AM,x,0.99,9.07,9.079643182
03/05/2020,12:40:00 AM,x,0.99,8.93,9.012370455
