,Fecha,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C]
253,9/10/2019,25.2775,327.1975,28.7475
254,9/10/2019,48.3325,694.9124999999999,33.3475
255,9/10/2019,64.3425,930.4699999999999,44.96750000000001
256,9/10/2019,59.94500000000001,833.8075,45.225
257,9/10/2019,39.665,535.0725,37.2775
258,9/10/2019,47.0775,516.6725,32.5875
259,9/10/2019,19.2675,203.4825,25.8475
260,9/10/2019,9.860000000000001,128.38,22.08
261,9/10/2019,7.19,99.01,20.975
262,9/10/2019,6.59,89.0325,20.7125
263,9/10/2019,8.83,116.7225,20.8525
264,9/10/2019,12.81,168.525,22.1325
265,9/10/2019,11.7675,150.7,21.8575
266,9/10/2019,9.915,114.7825,21.5425
267,9/10/2019,10.1075,84.7325,20.3675
268,9/10/2019,13.15,83.765,19.3725
269,9/10/2019,5.024999999999999,59.4925,18.75
270,10/10/2019,7.03,90.315,15.5525
271,10/10/2019,8.0575,102.695,16.4425
272,10/10/2019,13.53,172.6375,19.485
273,10/10/2019,24.7275,369.765,27.9275
274,10/10/2019,26.47,364.89,28.39
275,10/10/2019,31.38,416.8575,31.56
276,10/10/2019,38.19,507.8750000000001,36.345
277,10/10/2019,53.59,740.895,36.155
278,10/10/2019,68.735,963.375,40.5475
279,10/10/2019,62.09750000000001,917.955,41.44
280,10/10/2019,73.1075,1062.69,47.1875
281,10/10/2019,67.2475,1004.96,44.3525
282,10/10/2019,38.1475,527.4875,34.71250000000001
283,10/10/2019,75.2575,1085.8425,42.5925
284,10/10/2019,72.8875,1095.9575,45.8875
285,10/10/2019,51.4075,753.0649999999999,40.3525
286,10/10/2019,58.7625,824.6975,40.9775
287,10/10/2019,58.8925,777.1275,38.37500000000001
288,10/10/2019,67.14,950.975,44.4675
289,10/10/2019,53.23,700.615,36.0625
290,10/10/2019,45.4,566.4100000000001,25.6725
291,10/10/2019,24.435,292.18,17.15
292,10/10/2019,18.4225,209.0,17.505
293,10/10/2019,12.8975,143.83,19.7675
294,10/10/2019,23.71,139.5975,19.6575
295,10/10/2019,18.3625,189.645,22.68
296,10/10/2019,14.9275,145.9725,22.485
297,10/10/2019,9.2925,57.41249999999999,19.1875
298,10/10/2019,6.905,39.675,17.755
299,10/10/2019,7.129999999999999,50.2975,18.1825
300,11/10/2019,7.8475,113.38,17.3025
301,11/10/2019,17.0275,289.24,21.9725
302,11/10/2019,33.3525,551.635,32.56
303,11/10/2019,43.6375,682.6075,34.835
304,11/10/2019,56.08,849.52,39.14
305,11/10/2019,47.935,713.2925,44.9225
306,11/10/2019,34.11,471.605,37.8525
307,11/10/2019,42.7525,595.1725,34.23
308,11/10/2019,69.105,988.2375,41.72
309,11/10/2019,59.91500000000001,891.0674999999999,39.8325
310,11/10/2019,75.91499999999999,1113.2375,46.4175
311,11/10/2019,78.47749999999999,1142.2825,46.96
312,11/10/2019,78.9125,1128.3275,45.015
313,11/10/2019,77.5775,1096.2175,44.36499999999999
314,11/10/2019,74.5625,1062.6325,46.5175
315,11/10/2019,73.515,1067.1025,50.715
316,11/10/2019,75.2875,1029.1325,45.9225
317,11/10/2019,70.81,781.96,42.8675
318,11/10/2019,70.5175,138.245,26.2075
319,11/10/2019,65.60249999999999,142.9075,26.375
320,11/10/2019,64.84,120.715,23.705
321,11/10/2019,58.925,84.5625,22.0025
322,11/10/2019,51.68,54.79,22.14
323,11/10/2019,28.3425,79.165,21.595
324,11/10/2019,36.185,60.5425,20.78
325,11/10/2019,19.1725,92.83250000000001,21.13
326,11/10/2019,18.475,83.0675,21.3975
327,11/10/2019,4.682499999999999,27.1025,19.0125
328,11/10/2019,1.7825,20.02,18.3925
329,11/10/2019,1.3875,16.8075,17.9325
330,12/10/2019,14.505,337.395,21.5075
331,12/10/2019,21.5325,429.55,26.9825
332,12/10/2019,28.155,515.505,32.2375
333,12/10/2019,34.6175,601.5,37.9875
334,12/10/2019,40.445,683.8149999999999,40.8175
335,12/10/2019,40.4875,689.8275,44.9175
336,12/10/2019,46.0875,740.5374999999999,45.965
337,12/10/2019,57.945,935.17,51.8475
338,12/10/2019,51.05499999999999,801.9775,41.5325
339,12/10/2019,59.9675,955.2574999999999,44.42
340,12/10/2019,25.9525,384.145,35.915
341,12/10/2019,43.64,636.7975,35.955
342,12/10/2019,66.715,1031.9225,42.58
343,12/10/2019,64.885,1002.3075,45.25
344,12/10/2019,56.6075,830.2700000000001,40.6925
345,12/10/2019,70.14500000000001,1060.55,48.89
346,12/10/2019,55.5625,806.5725,41.9925
347,12/10/2019,68.91749999999999,1022.665,45.7725
348,12/10/2019,63.57,733.25,41.4425
349,12/10/2019,68.065,133.64,25.8525
350,12/10/2019,64.85000000000001,122.53,23.855
351,12/10/2019,61.5475,120.4075,24.375
352,12/10/2019,53.005,99.75500000000001,23.34
353,12/10/2019,48.1925,54.9675,21.2875
354,12/10/2019,37.11,54.215,20.465
355,12/10/2019,7.375,41.1275,19.51
356,12/10/2019,7.31,29.08,18.7525
357,12/10/2019,2.2425,23.2525,18.2375
358,12/10/2019,2.9575,21.0975,17.9375
359,12/10/2019,3.345,18.93,17.7025
360,13/10/2019,2.4675,38.19,10.6925
361,13/10/2019,21.52,405.92,22.6725
362,13/10/2019,31.19,498.295,32.55
363,13/10/2019,31.14,477.0549999999999,32.8675
364,13/10/2019,44.73,671.75,37.995
365,13/10/2019,53.445,785.5324999999999,44.84999999999999
366,13/10/2019,50.3925,728.0025,43.0
367,13/10/2019,32.3975,449.485,35.3325
368,13/10/2019,22.725,293.555,29.1275
369,13/10/2019,27.0675,335.3225,26.1475
370,13/10/2019,22.6125,280.7375,26.435
371,13/10/2019,27.725,347.0325,30.595
372,13/10/2019,31.3,391.7375,34.97
373,13/10/2019,18.115,233.23,29.9625
374,13/10/2019,33.0525,416.065,32.425
375,13/10/2019,24.74,309.64,34.005
376,13/10/2019,39.3125,480.8275,34.95
377,13/10/2019,17.975,226.07,33.09
378,13/10/2019,15.4575,190.1175,28.4125
379,13/10/2019,18.9875,244.105,27.9075
380,13/10/2019,44.8275,490.5925,36.865
381,13/10/2019,54.56,321.7425,34.325
382,13/10/2019,12.9325,148.7775,28.035
383,13/10/2019,23.0575,173.61,23.855
384,13/10/2019,16.2375,190.7475,23.2225
385,13/10/2019,18.5525,166.2475,22.755
386,13/10/2019,15.945,157.1325,22.2625
387,13/10/2019,11.065,127.975,21.85
388,13/10/2019,7.1675,81.1275,19.8175
389,13/10/2019,3.1725,42.66,19.0175
390,14/10/2019,9.4475,122.8625,17.685
391,14/10/2019,12.775,162.93,21.015
392,14/10/2019,22.4875,339.28,19.21
393,14/10/2019,43.2775,647.195,32.9575
394,14/10/2019,54.5875,828.7425,38.565
395,14/10/2019,58.3775,866.7574999999999,38.1825
396,14/10/2019,55.2875,794.6975,37.8125
397,14/10/2019,65.7825,948.62,42.43
398,14/10/2019,63.81,905.5174999999999,40.61
399,14/10/2019,71.52499999999999,1009.8475,41.375
400,14/10/2019,50.9525,735.235,37.3975
401,14/10/2019,41.3525,546.075,34.795
402,14/10/2019,41.815,557.3175,36.7275
403,14/10/2019,64.63,991.0274999999999,45.1225
404,14/10/2019,51.9225,735.285,43.29
405,14/10/2019,68.35249999999999,1027.86,43.595
406,14/10/2019,58.02250000000001,783.5899999999999,41.355
407,14/10/2019,35.405,431.235,28.8125
408,14/10/2019,51.13,332.2975,24.4975
409,14/10/2019,26.825,273.945,23.815
410,14/10/2019,50.59,277.71,25.5475
411,14/10/2019,39.665,119.4025,21.055
412,14/10/2019,32.175,136.1675,20.7975
413,14/10/2019,16.58,159.5675,21.1125
414,14/10/2019,15.535,98.41,20.665
415,14/10/2019,10.615,79.24,19.4325
416,14/10/2019,6.882499999999999,70.6675,18.6675
417,14/10/2019,6.105,57.94,18.1325
418,14/10/2019,6.4975,43.9825,18.205
419,14/10/2019,6.0975,24.0375,16.905
420,15/10/2019,14.145,331.3225,21.5075
421,15/10/2019,21.4775,430.2875,27.9375
422,15/10/2019,27.315,495.5925000000001,32.2625
423,15/10/2019,35.575,616.4225,39.66
424,15/10/2019,36.53,602.5125,42.07250000000001
425,15/10/2019,45.955,750.8075,41.8325
426,15/10/2019,52.1525,858.8725,47.64749999999999
427,15/10/2019,57.17749999999999,909.5049999999999,50.175
428,15/10/2019,59.895,919.1975,42.9625
429,15/10/2019,59.84249999999999,924.2750000000001,43.53250000000001
430,15/10/2019,65.85,1036.4275,52.185
431,15/10/2019,70.17,1080.4375,48.1375
432,15/10/2019,71.725,1140.9075,54.395
433,15/10/2019,58.085,956.5275,54.28250000000001
434,15/10/2019,48.2625,772.3825,51.9175
435,15/10/2019,52.12,803.9350000000001,51.06
436,15/10/2019,33.6775,491.515,39.8875
437,15/10/2019,17.945,231.815,33.3775
438,15/10/2019,18.115,232.28,29.6925
439,15/10/2019,18.4725,208.4175,29.2325
440,15/10/2019,36.22750000000001,199.3925,27.64
441,15/10/2019,26.0425,187.2825,26.6025
442,15/10/2019,45.8075,195.56,24.9425
