Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-03-11 15:00:00,25.39181818,122.855,23.095,
2019-03-11 15:20:00,23.6825,103.59,21.905,
2019-03-11 15:40:00,21.84318182,56.23,20.8,
2019-03-11 16:00:00,20.93272727,47.07,19.2775,
2019-03-11 16:20:00,20.23795455,31.2275,18.55,
2019-03-11 16:40:00,18.95613636,20.065,17.2825,
2019-03-12 07:00:00,19.47045455,272.3075,21.6075,
2019-03-12 07:20:00,19.54,356.05,25.8675,
2019-03-12 07:40:00,22.37204545,469.865,30.625,
2019-03-12 08:00:00,26.83090909,565.0775,35.1225,
2019-03-12 08:20:00,30.18659091,630.595,40.03,
2019-03-12 08:40:00,34.25045455,463.915,36.075,
2019-03-12 09:00:00,38.12,549.675,34.86,
2019-03-12 09:20:00,42.0675,736.51,45.0625,
2019-03-12 09:40:00,41.92772727,838.9375,49.9725,
2019-03-12 10:00:00,43.275,608.455,43.765,
2019-03-12 10:20:00,45.65340909,694.9825,46.225,
2019-03-12 10:40:00,48.52863636,840.63,43.73,
2019-03-12 11:00:00,48.94022727,915.815,44.84,
2019-03-12 11:20:00,49.05568182,327.1975,28.7475,
2019-03-12 11:40:00,46.02,694.9125,33.3475,
2019-03-12 12:00:00,43.36022727,930.47,44.9675,
2019-03-12 12:20:00,39.81840909,833.8075,45.225,
2019-03-12 12:40:00,35.42045455,535.0725,37.2775,
2019-03-12 13:00:00,30.57977273,516.6725,32.5875,
2019-03-12 13:20:00,29.44636364,203.4825,25.8475,
2019-03-12 13:40:00,26.12227273,128.38,22.08,
2019-03-12 14:00:00,21.17431818,99.01,20.975,
2019-03-12 14:20:00,16.64363636,89.0325,20.7125,
2019-03-12 14:40:00,14.23318182,116.7225,20.8525,
2019-03-12 15:00:00,10.41022727,168.525,22.1325,
2019-03-12 15:20:00,9.297727273,150.7,21.8575,
2019-03-12 15:40:00,9.133863636,114.7825,21.5425,
2019-03-12 16:00:00,9.710227273,84.7325,20.3675,
2019-03-12 16:20:00,11.35909091,83.765,19.3725,
2019-03-12 16:40:00,12.96272727,59.4925,18.75,
2019-04-10 07:00:00,14.65090909,90.315,15.5525,
2019-04-10 07:20:00,17.05295455,102.695,16.4425,
2019-04-10 07:40:00,21.02340909,172.6375,19.485,
2019-04-10 08:00:00,26.35318182,369.765,27.9275,
2019-04-10 08:20:00,30.80295455,364.89,28.39,
2019-04-10 08:40:00,36.99227273,416.8575,31.56,
2019-04-10 09:00:00,42.46659091,507.875,36.345,
2019-04-10 09:20:00,45.20204545,740.895,36.155,
2019-04-10 09:40:00,50.81363636,963.375,40.5475,
2019-04-10 10:00:00,55.19181818,917.955,41.44,
2019-04-10 10:20:00,57.45886364,1062.69,47.1875,
2019-04-10 10:40:00,59.94818182,1004.96,44.3525,
2019-04-10 11:00:00,61.83022727,527.4875,34.7125,
2019-04-10 11:20:00,63.06204545,1085.8425,42.5925,
2019-04-10 11:40:00,61.6525,1095.9575,45.8875,
2019-04-10 12:00:00,60.13454545,753.065,40.3525,
2019-04-10 12:20:00,55.70977273,824.6975,40.9775,
2019-04-10 12:40:00,51.27113636,777.1275,38.375,
2019-04-10 13:00:00,48.97568182,950.975,44.4675,
2019-04-10 13:20:00,44.28954545,700.615,36.0625,
2019-04-10 13:40:00,39.33272727,566.41,25.6725,
