,Fecha,Hora,Energia [kWh],Irradiacion [Wh/m2],Irradiacion extraterrestre [Wh/m2]
135,14/10/2019,12:00,12.64416667,153.2308333,1336.88615
136,14/10/2019,13:00,38.50333333,357.46,1290.736976
137,14/10/2019,14:00,17.12416667,206.2208333,1155.434444
138,14/10/2019,15:00,17.72666667,88.79333333,940.1991993999999
139,14/10/2019,16:00,10.97333333,26.57416667,659.6991668
140,15/10/2019,7:00,24.0275,432.34666669999996,332.1575867
141,15/10/2019,8:00,25.19916667,346.755,658.6391974
142,15/10/2019,9:00,21.0575,274.2458333,938.9953124
143,15/10/2019,10:00,18.93833333,235.9916667,1154.120126
144,15/10/2019,11:00,17.59083333,222.1591667,1289.3532369999998
145,15/10/2019,12:00,18.51666667,233.9091667,1335.478732
146,15/10/2019,13:00,18.5775,230.7716667,1289.3532369999998
147,15/10/2019,14:00,10.38416667,135.1766667,1154.120126
148,15/10/2019,15:00,12.28083333,149.4725,938.9953124
149,15/10/2019,16:00,4.944166667,63.1475,658.6391974
150,16/10/2019,7:00,10.475,142.8825,331.2577041
151,16/10/2019,8:00,17.11916667,231.8283333,657.5597126
152,16/10/2019,9:00,23.25583333,287.1525,937.7615997000001
153,16/10/2019,10:00,30.77583333,386.9816667,1152.7680699999999
154,16/10/2019,11:00,31.42916667,400.585,1287.9267869999999
155,16/10/2019,12:00,13.24166667,165.4233333,1334.026909
156,16/10/2019,13:00,13.76833333,167.9616667,1287.9267869999999
157,16/10/2019,14:00,14.2675,177.1591667,1152.7680699999999
158,16/10/2019,15:00,6.644166667,83.81333333,937.7615997000001
159,16/10/2019,16:00,3.435833333,45.84333333,657.5597126
160,17/10/2019,7:00,15.44583333,239.9966667,330.3509434
161,17/10/2019,8:00,26.08416667,382.33,656.461711
162,17/10/2019,9:00,19.26916667,256.0325,936.4993757000001
163,17/10/2019,10:00,33.04416667,420.02416669999997,1151.379833
164,17/10/2019,11:00,37.88916667,499.4258333000001,1286.459336
165,17/10/2019,12:00,24.01583333,295.98083330000003,1332.532439
166,17/10/2019,13:00,27.16416667,279.5158333,1286.459336
167,17/10/2019,14:00,11.595,136.3391667,1151.379833
168,17/10/2019,15:00,9.058333333,100.2516667,936.4993757000001
169,17/10/2019,16:00,2.951666667,39.79416667,656.461711
170,18/10/2019,7:00,12.39,202.2,329.4379466
171,18/10/2019,8:00,19.13916667,279.4491667,655.3462164
172,18/10/2019,9:00,22.82916667,285.6808333,935.2099923000001
173,18/10/2019,10:00,34.56166667,472.91583330000003,1149.9570199999998
174,18/10/2019,11:00,19.86666667,259.9916667,1284.9526460000002
175,18/10/2019,12:00,21.19833333,274.8,1330.99714
176,18/10/2019,13:00,16.93166667,202.30083330000002,1284.9526460000002
177,18/10/2019,14:00,3.105833333,41.06916667,1149.9570199999998
178,18/10/2019,15:00,5.6125,72.7625,935.2099923000001
179,18/10/2019,16:00,2.6625,37.9175,655.3462164
180,19/10/2019,7:00,6.7225,85.73833333,328.5193672
181,19/10/2019,8:00,14.5875,182.8325,654.2142772999999
