,Fecha,Potencia,Insolacion
142,11:50,34.86,610.01
143,11:55,40.9,733.05
144,12:00,17.88,302.78
145,12:05,20.66,339.34
146,12:10,17.59,296.22
147,12:15,18.4,310.43
148,12:20,17.82,292.78
149,12:25,15.83,250.32
150,12:30,15.4,255.29
151,12:35,15.24,244.76
152,12:40,15.12,242.28
153,12:45,19.86,326.23
154,12:50,27.11,467.87
155,12:55,23.9,377.73
156,13:00,16.32,251.36
157,13:05,14.72,232.81
158,13:10,15.74,257.11
159,13:15,17.5,287.94
160,13:20,20.98,344.61
161,13:25,22.62,367.85
162,13:30,25.2,406.81
163,13:35,37.66,652.89
164,13:40,27.71,445.37
165,13:45,26.22,415.59
166,13:50,27.14,428.04
167,13:55,23.21,365.04
168,14:00,20.88,327.12
169,14:05,19.27,292.4
170,14:10,20.52,305.6
171,14:15,23.05,351.94
172,14:20,38.86,779.05
173,14:25,18.49,307.01
174,14:30,17.89,275.88
175,14:35,16.86,250.42
176,14:40,14.72,223.88
177,14:45,13.88,212.37
178,14:50,13.44,204.2
179,14:55,14.69,233.11
180,15:00,17.26,271.23
181,15:05,19.76,365.17
182,15:10,16.85,287.05
183,15:15,19.87,435.48
184,15:20,21.28,491.81
185,15:25,25.13,651.35
186,15:30,18.46,393.5
187,15:35,13.1,215.9
188,15:40,12.83,228.17
189,15:45,10.96,166.7
190,15:50,9.61,138.41
191,15:55,10.21,134.15
192,16:00,13.09,144.27
193,16:05,9.98,88.99
194,16:10,10.39,83.35
195,16:15,5.59,62.56
196,16:20,7.72,79.86
197,16:25,8.53,113.86
198,16:30,7.75,107.79
199,16:35,9.53,143.91
200,16:40,8.54,126.58
201,16:45,4.27,64.52
202,16:50,4.62,71.43
203,16:55,5.05,70.18
204,17:00,3.19,44.18
205,17:05,2.11,33.09
206,17:10,1.6,25.58
207,17:15,1.37,26.87
208,17:20,1.08,20.94
209,17:25,0.86,18.8
210,17:30,0.77,18.61
211,17:35,0.54,15.27
212,17:40,0.65,16.11
213,17:45,0.74,17.7
214,17:50,0.47,14.44
215,17:55,0.13,7.75
216,18:00,x,x
217,18:05,x,x
218,18:10,x,x
219,18:15,x,x
220,18:20,x,x
221,18:25,x,x
222,18:30,x,x
223,18:35,x,x
224,18:40,x,x
225,18:45,x,x
226,18:50,x,x
227,18:55,x,x
228,19:00,x,x
229,19:05,x,x
230,19:10,x,x
231,19:15,x,x
232,19:20,x,x
233,19:25,x,x
234,19:30,x,x
235,19:35,x,x
236,19:40,x,x
237,19:45,x,x
238,19:50,x,x
239,19:55,x,x
240,20:00,x,x
241,20:05,x,x
242,20:10,x,x
243,20:15,x,x
244,20:20,x,x
245,20:25,x,x
246,20:30,x,x
247,20:35,x,x
248,20:40,x,x
249,20:45,x,x
250,20:50,x,x
251,20:55,x,x
252,21:00,x,x
253,21:05,x,x
254,21:10,x,x
255,21:15,x,x
256,21:20,x,x
257,21:25,x,x
258,21:30,x,x
259,21:35,x,x
260,21:40,x,x
261,21:45,x,x
262,21:50,x,x
263,21:55,x,x
264,22:00,x,x
265,22:05,x,x
266,22:10,x,x
267,22:15,x,x
268,22:20,x,x
269,22:25,x,x
270,22:30,x,x
271,22:35,x,x
272,22:40,x,x
273,22:45,x,x
274,22:50,x,x
275,22:55,x,x
276,23:00,x,x
277,23:05,x,x
278,23:10,x,x
279,23:15,x,x
280,23:20,x,x
281,23:25,x,x
282,23:30,x,x
283,23:35,x,x
284,23:40,x,x
285,23:45,x,x
286,23:50,x,x
287,23:55,x,x
288,,,
289,,,
290,,,x
