Fecha ,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [›C],Temperatura ambiente [›C]
01/22/2020,10:10:00 PM,x,1,11.45,11.75286591
01/22/2020,10:15:00 PM,x,1,11.56,11.91007955
01/22/2020,10:20:00 PM,x,1,11.8,12.12911136
01/22/2020,10:25:00 PM,x,1.01,11.93,12.386325
01/22/2020,10:30:00 PM,x,1.01,12.14,12.63081136
01/22/2020,10:35:00 PM,x,1.01,12.65,12.90075227
01/22/2020,10:40:00 PM,x,1.02,13.42,13.19251136
01/22/2020,10:45:00 PM,x,1.02,13.94,13.46608864
01/22/2020,10:50:00 PM,x,1.02,14.3,13.70787727
01/22/2020,10:55:00 PM,x,1.02,14.47,13.92693864
01/22/2020,11:00:00 PM,x,1.02,14.61,14.12784773
01/22/2020,11:05:00 PM,x,1.02,14.66,14.28512045
01/22/2020,11:10:00 PM,x,1.02,14.57,14.37696818
01/22/2020,11:15:00 PM,x,1.01,14.46,14.42336136
01/22/2020,11:20:00 PM,x,1.02,14.34,14.43157273
01/22/2020,11:25:00 PM,x,1.01,14.35,14.42978409
01/22/2020,11:30:00 PM,x,1.01,14.38,14.41526818
01/22/2020,11:35:00 PM,x,1.01,14.43,14.39984318
01/22/2020,11:40:00 PM,x,1.01,14.45,14.38987273
01/22/2020,11:45:00 PM,x,1.01,14.39,14.37896364
01/22/2020,11:50:00 PM,x,1.01,14.45,14.37353864
01/22/2020,11:55:00 PM,x,1.01,14.45,14.36993182
01/23/2020,12:00:00 AM,x,1.01,14.49,14.37629545
01/23/2020,12:05:00 AM,x,1.01,14.46,14.40084091
01/23/2020,12:10:00 AM,x,1.01,14.34,14.43538636
01/23/2020,12:15:00 AM,x,1.01,14.28,14.47538636
01/23/2020,12:20:00 AM,x,1,14.31,14.52356818
01/23/2020,12:25:00 AM,x,1.01,14.45,14.56811364
01/23/2020,12:30:00 AM,x,1.01,14.7,14.59720455
01/23/2020,12:35:00 AM,x,1.01,14.83,14.61629545
01/23/2020,12:40:00 AM,x,1.01,14.83,14.63902273
01/23/2020,12:45:00 AM,x,1.01,14.98,14.66084091
01/23/2020,12:50:00 AM,x,1.01,14.94,14.68629545
01/23/2020,12:55:00 AM,x,1.01,14.81,14.71175
01/23/2020,01:00:00 AM,x,1.01,14.67,14.71175
01/23/2020,01:05:00 AM,x,1.01,14.59,14.69175
01/23/2020,01:10:00 AM,x,1.01,14.52,14.66723409
01/23/2020,01:15:00 AM,x,1,14.59,14.61180909
01/23/2020,01:20:00 AM,x,1.01,14.73,14.55183864
01/23/2020,01:25:00 AM,x,1.01,14.7,14.48914091
01/23/2020,01:30:00 AM,x,1.01,14.61,14.42917045
01/23/2020,01:35:00 AM,x,1,14.56,14.36829091
01/23/2020,01:40:00 AM,x,1,14.37,14.31650227
01/23/2020,01:45:00 AM,x,1,14.28,14.26741136
