"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [øC]","Temperatura Ambiente [øC]"
"10/9/2019","7:30","12","181.58","17.35","11.23629318"
"10/9/2019","7:35","11.23","164.72","17.68","11.44192045"
"10/9/2019","7:40","11.54","164.14","18.04","11.81386136"
"10/9/2019","7:45","12.48","175.18","18.91","12.50376136"
"10/9/2019","7:50","14.4","201.1","19.59","12.97108864"
"10/9/2019","7:55","18.91","267.77","21.4","13.19195909"
"10/9/2019","8:00","24.3","348.1","23.43","13.64966591"
"10/9/2019","8:05","28.97","413.75","26.41","13.81466591"
"10/9/2019","8:10","28.21","388.2","28.42","13.95670455"
"10/9/2019","8:15","25.91","340.36","26.42","13.86153409"
"10/9/2019","8:20","28.97","407.36","26.66","13.96680455"
"10/9/2019","8:25","18.85","256.51","24.82","14.06333182"
"10/9/2019","8:30","16.67","210.72","20.99","14.28462045"
"10/9/2019","8:35","15.5","195.45","20.62","14.33381818"
"10/9/2019","8:40","19.8","256.93","20.52","14.14539773"
"10/9/2019","8:45","18.85","233.47","21.8","14.14855227"
"10/9/2019","8:50","21.44","264.33","22.35","14.53783864"
"10/9/2019","8:55","16.43","193.51","20.84","14.600475"
"10/9/2019","9:00","17.65","211.56","20.38","14.69584091"
"10/9/2019","9:05","20.2","243.05","21.63","14.74453182"
"10/9/2019","9:10","21.05","255.6","23.7","15.12094545"
"10/9/2019","9:15","13.51","161.14","22.94","15.43079091"
"10/9/2019","9:20","12.98","163.31","22.48","15.79047727"
"10/9/2019","9:25","22.01","270.75","23.99","16.15186364"
"10/9/2019","9:30","26.51","334.97","25.69","16.5729"
"10/9/2019","9:35","26.71","331.99","27.1","16.85715682"
"10/9/2019","9:40","23.5","285.83","26.91","17.19673636"
"10/9/2019","9:45","24.5","294.59","27.29","17.18769773"
"10/9/2019","9:50","24.77","303.81","28.4","17.46224318"
"10/9/2019","9:55","26.42","328.44","28.81","17.66069318"
"10/9/2019","10:00","33.32","410.84","30.21","17.48605227"
"10/9/2019","10:05","27.74","340.05","30.18","17.14859545"
"10/9/2019","10:10","34.25","425.43","31.43","16.7051"
"10/9/2019","10:15","30.38","371.31","32.26","17.24787273"
"10/9/2019","10:20","35.32","451.89","32.06","18.27764545"
"10/9/2019","10:25","46.76","627.31","33.27","18.12513636"
"10/9/2019","10:30","62.06","904.36","41.99","17.44692045"
"10/9/2019","10:35","66.01","998.09","45.18","17.25447045"
"10/9/2019","10:40","56.86","831.19","50.7","17.38107955"
"10/9/2019","10:45","31.06","420.81","43.53","17.06570909"
"10/9/2019","10:50","46.98","642.52","37.34","17.00698864"
"10/9/2019","10:55","68.58","984.39","41.39","17.11038864"
"10/9/2019","11:00","67.67","934.11","47.37","17.71182727"
"10/9/2019","11:05","63.36","870.27","47.28","18.10384545"
"10/9/2019","11:10","65.2","916.82","46.52","17.42206136"
"10/9/2019","11:15","74.11","1040.38","50.54","16.39771591"
"10/9/2019","11:20","78.83","1147.39","51.31","16.56150909"
"10/9/2019","11:25","69.97","1026.95","52.59","17.19485455"
"10/9/2019","11:30","68.04","1038.33","50.8","16.85518636"
"10/9/2019","11:35","72.22","1093.64","51.73","17.14241136"
"10/9/2019","11:40","73.62","1109.05","54.63","17.19666818"
"10/9/2019","11:45","66.22","963.39","49.57","17.63656818"
"10/9/2019","11:50","72.26","1066.95","51.04","17.72112727"
"10/9/2019","11:55","73.99","1149.69","50.64","17.96849091"
"10/9/2019","12:00","50.27","744.44","46.35","18.97594773"
"10/9/2019","12:05","68.1","1028.61","50.75","19.22146818"
"10/9/2019","12:10","61.21","990.26","53.75","19.63210227"
"10/9/2019","12:15","69","1130.77","51.7","19.97165227"
"10/9/2019","12:20","61.43","936.15","52.36","20.64820682"
"10/9/2019","12:25","45.04","601.96","47.7","21.15355455"
"10/9/2019","12:30","56.57","813.31","45.32","21.444975"
"10/9/2019","12:35","56.99","712.22","46.25","21.56852955"
"10/9/2019","12:40","50.58","643.85","42.92","21.35289773"
"10/9/2019","12:45","41.59","542.27","41.43","22.18395227"
